Item Name,Price,Quantity,Total Price,Link
NEMA 17 (3),30.45,1,30.45,https://www.aliexpress.us/item/2251832386575349.html?
GT2 Belt,7.72,1,7.72,https://www.aliexpress.us/item/2251832667244886.html?
20T pulley (2),4.99,1,4.99,https://www.aliexpress.us/item/2251832808788159.html?
20T idler,3.99,1,3.99,https://www.aliexpress.us/item/2251832539995194.html?
80T pulley,7.65,1,7.65,https://www.aliexpress.us/item/3256805291833644.html?
280mm belt loop,0.55,2,1.1,https://www.aliexpress.us/item/2255800049977727.html?
mgn12h 150,17.11,1,17.11,https://www.aliexpress.us/item/2251832643511407.html?
mgn9h 150,16.65,1,16.65,https://www.aliexpress.us/item/2251832586981749.html?
2510 fan,7.62,1,7.62,https://www.aliexpress.us/item/3256808076821944.html?
4010 blower fan,13.84,1,13.84,https://www.aliexpress.us/item/3256801655319095.html?
v0 leadscrew motor,24.8,1,24.8,https://www.aliexpress.us/item/3256805672589159.html?
6812 bearing,9.58,1,9.58,https://www.aliexpress.us/item/3256807233759178.html?
hgx lite,20.54,1,20.54,https://www.aliexpress.us/item/3256806387907092.html?
kapton tape,9.34,1,9.34,https://www.aliexpress.us/item/3256805157658322.html?
tz v6,20.58,1,20.58,https://www.aliexpress.us/item/3256808497218562.html?
skr pico,30.99,1,30.99,https://www.aliexpress.us/item/3256808864716770.html?
raspi 3b,26.78,1,26.78,https://www.digikey.com/en/products/detail/raspberry-pi/SC0563/6235381?
ecas collet (3),5.26,1,5.26,https://www.aliexpress.us/item/2251832747833403.html?
,,,,
FRAME STUFF,,,,
HFS5-2040-230-LWH-RCH,16,2,32,https://us.misumi-ec.com/vona2/detail/110302684350/?PNSearch=HFS5-2040-230-LWH-RCH&HissuCode=HFS5-2040-230-LWH-RCH&searchFlow=suggest2products&Keyword=HFS5-2040-230-LWH-RCH&list=SuggestPreview
HFS5-2040-160,5.47,1,5.47,https://us.misumi-ec.com/vona2/detail/110302684350/?PNSearch=HFS5-2040-160&HissuCode=HFS5-2040-160&searchFlow=suggest2products&Keyword=HFS5-2040-160&list=SuggestPreview
HFS5-2040-205,5.47,1,5.47,https://us.misumi-ec.com/vona2/detail/110302684350/?PNSearch=HFS5-2040-205&HissuCode=HFS5-2040-205&searchFlow=suggest2products&Keyword=HFS5-2040-205&list=SuggestPreview
HFS5-4040-160-AH66.5,12.19,1,12.19,https://us.misumi-ec.com/vona2/detail/110302684530/?PNSearch=HFS5-4040-160-AH66.5&HissuCode=HFS5-4040-160-AH66.5&searchFlow=suggest2products&Keyword=HFS5-4040-160-AH66.5&list=SuggestPreview
m5 self tapping screws,0.76,10,7.6,
,,,
24v PSU,17.36,1,17.36,https://a.aliexpress.com/_mrllXad
m3 m4 m5 screws,14.58,1,14.58,https://www.aliexpress.us/item/3256809277967067.html?
Aluminum top plate,30.73,1,30.73,
,,,
TOTAL,,,384.39,
